,January,February,March,April,May,June,July,August,September,October,November,December
mslp,"(102076.109375, 937.3269653320312)","(101883.125, 935.1011352539062)","(101465.4921875, 860.758056640625)","(101410.6953125, 769.7154541015625)","(101285.328125, 600.7667236328125)","(101194.765625, 513.8450317382812)","(101249.8828125, 393.3190002441406)","(101167.765625, 454.03509521484375)","(101419.015625, 594.7168579101562)","(101788.2109375, 757.7803344726562)","(101896.984375, 862.6761474609375)","(102068.8828125, 931.6652221679688)"
vas,"(0.356375128030777, 4.2884626388549805)","(0.6633759140968323, 4.075844764709473)","(1.1781156063079834, 4.428945541381836)","(1.3915445804595947, 4.561655044555664)","(2.4549520015716553, 4.469099998474121)","(3.1349620819091797, 4.210876941680908)","(3.611734628677368, 3.432563543319702)","(3.2496650218963623, 3.8484766483306885)","(1.7839081287384033, 4.452573776245117)","(1.2584725618362427, 4.516913414001465)","(0.7127555012702942, 4.028192520141602)","(0.4515607953071594, 4.029005527496338)"
RH_p500,"(46.580684661865234, 26.549060821533203)","(49.57334899902344, 27.244277954101562)","(53.847171783447266, 26.8606014251709)","(56.85599136352539, 27.00157928466797)","(54.317909240722656, 26.18657112121582)","(54.0141716003418, 25.228151321411133)","(53.5959358215332, 24.797508239746094)","(55.42837905883789, 26.337703704833984)","(51.88266372680664, 30.18903350830078)","(39.112972259521484, 26.547285079956055)","(40.3294677734375, 25.84723472595215)","(44.31130599975586, 26.32970428466797)"
U_p850,"(5.32739782333374, 6.242632865905762)","(4.925522804260254, 6.540777206420898)","(4.944339752197266, 6.628909587860107)","(3.072422504425049, 6.284363746643066)","(2.9032793045043945, 5.0396809577941895)","(2.928609609603882, 4.407455921173096)","(2.1425023078918457, 3.5031189918518066)","(1.6474450826644897, 3.804206132888794)","(1.1404176950454712, 4.949738025665283)","(2.8079371452331543, 5.356932640075684)","(5.076937675476074, 5.850639343261719)","(5.356024265289307, 6.336109638214111)"
Q_p850,"(0.002823140937834978, 0.0014716475270688534)","(0.0032859269995242357, 0.0016350175719708204)","(0.0041631003841757774, 0.0017707765800878406)","(0.005587829742580652, 0.0020656564738601446)","(0.008178839460015297, 0.002409526612609625)","(0.00994393415749073, 0.0022733353544026613)","(0.011259808205068111, 0.0017088268650695682)","(0.011243728920817375, 0.002169341780245304)","(0.00957580842077732, 0.002975903917104006)","(0.006323755253106356, 0.0031043407507240772)","(0.0038519909139722586, 0.0020626552868634462)","(0.0030825184658169746, 0.0018076967680826783)"
Vort_p500,"(6.772558208467672e-06, 3.104791176156141e-05)","(4.1259327190346085e-06, 2.9007973353145644e-05)","(6.433141152228927e-06, 2.9300152164069004e-05)","(4.137442829232896e-06, 2.7165435312781483e-05)","(-4.943084604747128e-06, 2.1716787159675732e-05)","(-1.0696820936573204e-05, 2.0406479961820878e-05)","(-1.3733809282712173e-05, 1.7674912669463083e-05)","(-1.3824115740135312e-05, 1.6644546121824533e-05)","(-1.3188398952479474e-05, 1.6769445210229605e-05)","(-9.914218026096933e-06, 2.2464722860604525e-05)","(-1.3878720892535057e-06, 2.8186261260998435e-05)","(4.64636696051457e-06, 3.1937583116814494e-05)"
RH_p850,"(49.082115173339844, 23.01333999633789)","(48.699310302734375, 23.53782844543457)","(52.88737487792969, 22.8985652923584)","(61.03800964355469, 22.855575561523438)","(64.05513000488281, 20.570234298706055)","(60.864383697509766, 18.452739715576172)","(59.63942337036133, 16.397171020507812)","(59.53571701049805, 17.575273513793945)","(62.139923095703125, 19.725351333618164)","(53.51336669921875, 21.971782684326172)","(45.74806594848633, 21.692411422729492)","(47.24979782104492, 23.094770431518555)"
Z_p500,"(5630.31396484375, 90.01338958740234)","(5651.9443359375, 87.32550048828125)","(5647.99609375, 79.31977081298828)","(5692.27294921875, 69.65532684326172)","(5777.96533203125, 55.80644226074219)","(5851.31787109375, 49.16656494140625)","(5903.0244140625, 30.78855323791504)","(5897.7080078125, 31.999759674072266)","(5863.7841796875, 39.52098083496094)","(5801.39306640625, 61.07304382324219)","(5717.615234375, 85.28901672363281)","(5663.2314453125, 94.14527893066406)"
