,January,February,March,April,May,June,July,August,September,October,November,December
mslp,"(102124.4296875, 863.4171142578125)","(101932.8671875, 842.4525756835938)","(101511.0859375, 755.9735107421875)","(101415.2578125, 678.0762329101562)","(101289.1328125, 534.104736328125)","(101235.0390625, 467.0166320800781)","(101310.828125, 360.5122375488281)","(101217.4296875, 411.2297668457031)","(101449.0390625, 536.5882568359375)","(101819.640625, 688.7068481445312)","(101973.6953125, 776.546142578125)","(102136.1953125, 859.1063232421875)"
vas,"(0.580036997795105, 3.2329697608947754)","(0.7879214882850647, 3.1081717014312744)","(1.263160228729248, 3.1983211040496826)","(1.341540813446045, 3.407122850418091)","(2.203144073486328, 3.245553970336914)","(2.836345672607422, 3.176151752471924)","(3.010982036590576, 2.5827908515930176)","(2.635777711868286, 2.8016014099121094)","(1.402349591255188, 3.4151880741119385)","(1.1369576454162598, 3.3817360401153564)","(0.686953604221344, 3.0436618328094482)","(0.5592001676559448, 3.054689645767212)"
RH_p500,"(44.55800247192383, 27.72933006286621)","(46.86914825439453, 28.60984992980957)","(50.58450698852539, 27.7808837890625)","(53.596290588378906, 27.855520248413086)","(49.43397521972656, 26.928064346313477)","(52.05841827392578, 26.741296768188477)","(54.65406036376953, 25.067914962768555)","(53.748817443847656, 26.63595962524414)","(52.37064743041992, 29.829309463500977)","(37.58279037475586, 27.38727378845215)","(37.53544998168945, 26.46135139465332)","(41.542579650878906, 27.541824340820312)"
U_p850,"(4.355382919311523, 6.476566791534424)","(4.506123065948486, 6.705389976501465)","(4.454011917114258, 6.614124774932861)","(2.487332582473755, 6.380895614624023)","(0.9118275046348572, 5.2509260177612305)","(0.6482635140419006, 4.287649154663086)","(-0.02430075779557228, 3.418829917907715)","(-0.4782782196998596, 3.793464183807373)","(-0.840554416179657, 4.875399589538574)","(1.131718397140503, 5.474575042724609)","(3.8890442848205566, 6.27623987197876)","(4.496432781219482, 6.557076930999756)"
Q_p850,"(0.0032888506539165974, 0.0015966850332915783)","(0.0038077353965491056, 0.0017408267594873905)","(0.004468603525310755, 0.0018137124134227633)","(0.005879148840904236, 0.002174422377720475)","(0.008739380165934563, 0.002620208077132702)","(0.010532558895647526, 0.0023360876366496086)","(0.011602243408560753, 0.0016681818524375558)","(0.011576349847018719, 0.0020368846599012613)","(0.010133347474038601, 0.002853558398783207)","(0.006975445430725813, 0.0031517180614173412)","(0.0043814657256007195, 0.00220228242687881)","(0.003522279439494014, 0.0019454247085377574)"
Vort_p500,"(4.031133357784711e-06, 2.94291676254943e-05)","(2.619338829390472e-06, 2.7823365599033423e-05)","(5.3983658290235326e-06, 2.8305537853157148e-05)","(3.861828645312926e-06, 2.667561057023704e-05)","(-7.055094556562835e-06, 2.050220427918248e-05)","(-1.2426554349076468e-05, 1.8566326616564766e-05)","(-1.1784625712607522e-05, 1.7691838365863077e-05)","(-1.3352834685065318e-05, 1.6183072148123756e-05)","(-1.3241384294815361e-05, 1.6113614037749358e-05)","(-1.1512528544699308e-05, 2.0533641873043962e-05)","(-4.451768290891778e-06, 2.703814607230015e-05)","(9.620317769076792e-07, 3.0293804229586385e-05)"
RH_p850,"(52.208377838134766, 22.825908660888672)","(51.17621612548828, 23.329347610473633)","(51.69178771972656, 22.988330841064453)","(57.828426361083984, 23.694522857666016)","(62.72600555419922, 22.981975555419922)","(59.38025665283203, 18.936906814575195)","(57.47749328613281, 16.65325355529785)","(56.96978759765625, 17.294095993041992)","(61.86125946044922, 19.49863052368164)","(55.56061935424805, 21.61618423461914)","(48.27537155151367, 21.560043334960938)","(49.772216796875, 22.980384826660156)"
Z_p500,"(5669.11328125, 83.53194427490234)","(5689.388671875, 79.93795013427734)","(5678.8271484375, 75.57678985595703)","(5718.2421875, 67.16785430908203)","(5799.728515625, 52.216163635253906)","(5869.6435546875, 40.641971588134766)","(5912.87451171875, 26.63498878479004)","(5908.19482421875, 28.14912223815918)","(5877.466796875, 35.49507141113281)","(5824.72265625, 53.47001647949219)","(5752.8935546875, 77.46800231933594)","(5702.1005859375, 85.76168060302734)"
