,January,February,March,April,May,June,July,August,September,October,November,December
mslp,-1.7659302,-3.1175988,-2.1241708,-0.5309886,-0.9393114,-0.51031655,-0.17289235,-0.54652256,-1.0530814,-1.3756931,-2.2730684,-2.3443568
vas,0.849142,0.29869935,1.472423,1.9527348,1.0114433,0.35114348,0.00093388,0.37346742,0.6074527,1.3782626,0.9362201,0.8399561
RH_p500,-0.56357634,-0.47442767,-0.83732796,-0.8852008,-0.22188008,-0.36253682,-0.61518943,-0.41156793,-0.52313995,-0.8744184,-0.4492514,-0.271784
U_p850,0.22802275,-0.15076244,0.34306556,0.36992693,0.17491174,0.08281603,0.031526797,-0.08862143,-0.14792201,0.19313866,0.3191027,0.034951534
Q_p850,2.9025724,2.136991,2.2068548,2.798333,2.6145453,2.0827682,1.9857119,1.6039766,3.2832723,3.21598,2.9871943,2.370488
Vort_p500,1.2138764,1.0954084,0.49141696,0.6365366,0.6788916,0.11628195,0.030755863,0.09285057,0.415499,1.2290187,1.0519738,1.2831079
RH_p850,-4.1639276,-3.240999,-2.8086808,-3.058264,-3.1559534,-3.1950333,-3.4731808,-2.7868767,-3.8158648,-3.1278934,-3.0449255,-3.1492229
Z_p500,1.6844766,3.1840467,1.8901932,1.0657797,1.8799118,0.87180644,0.44582143,0.7755363,1.1802227,1.99682,2.55011,2.69267
constant,12.637682,14.979541,19.456175,24.835627,29.58407,33.844734,36.287727,35.773968,31.277237,24.942892,17.682592,12.129007
