,January,February,March,April,May,June,July,August,September,October,November,December
mslp,"(102117.9375, 865.2874145507812)","(101934.0703125, 852.2374877929688)","(101520.1484375, 773.98095703125)","(101441.2734375, 689.7752075195312)","(101328.8203125, 527.7792358398438)","(101261.9140625, 454.8265686035156)","(101317.140625, 327.79217529296875)","(101207.6015625, 384.906982421875)","(101415.3828125, 512.5947265625)","(101808.0859375, 672.77392578125)","(101952.78125, 783.072509765625)","(102120.1953125, 852.7056274414062)"
vas,"(0.3521483838558197, 3.895514965057373)","(0.6955646276473999, 3.8760597705841064)","(1.2426766157150269, 3.9613120555877686)","(1.4719895124435425, 4.15669584274292)","(2.6930484771728516, 3.953300714492798)","(3.323108196258545, 3.7352185249328613)","(3.504272222518921, 2.9667301177978516)","(3.0525763034820557, 3.2842650413513184)","(1.3656089305877686, 4.040393352508545)","(1.0504451990127563, 4.101521015167236)","(0.6282565593719482, 3.8302533626556396)","(0.44426262378692627, 3.7782013416290283)"
RH_p500,"(45.38310241699219, 27.744224548339844)","(47.15109634399414, 27.766639709472656)","(50.948482513427734, 27.668272018432617)","(53.85050964355469, 27.40843391418457)","(50.083396911621094, 26.133392333984375)","(50.15999221801758, 25.55716323852539)","(49.807701110839844, 24.54399299621582)","(49.476261138916016, 26.3192195892334)","(49.83233642578125, 28.989543914794922)","(37.05903625488281, 26.448179244995117)","(37.53580093383789, 26.309398651123047)","(42.193702697753906, 27.01140785217285)"
U_p850,"(5.0557732582092285, 6.215394973754883)","(4.847403049468994, 6.432339191436768)","(4.797652721405029, 6.334234237670898)","(2.9189670085906982, 5.954535961151123)","(1.8749277591705322, 4.683875560760498)","(1.6062300205230713, 4.001058578491211)","(0.7011191844940186, 3.1968939304351807)","(-0.026391513645648956, 3.334702491760254)","(-0.6156407594680786, 4.519863605499268)","(1.5599567890167236, 5.053939342498779)","(4.415037155151367, 5.920694828033447)","(5.112844467163086, 6.295721054077148)"
Q_p850,"(0.0033558476716279984, 0.001790382550098002)","(0.003742564469575882, 0.0018818768439814448)","(0.004632425028830767, 0.002026946283876896)","(0.0061521995812654495, 0.002253609476611018)","(0.008905346505343914, 0.002414232585579157)","(0.01035646814852953, 0.002272192155942321)","(0.011325784027576447, 0.0016539555508643389)","(0.011405828408896923, 0.0020475408528000116)","(0.010081854648888111, 0.0029842646326869726)","(0.006876733619719744, 0.0033682263456285)","(0.004352231044322252, 0.002420525997877121)","(0.0035784158390015364, 0.002156850416213274)"
Vort_p500,"(3.5541841043595923e-06, 3.0143139156280085e-05)","(2.201787083322415e-06, 2.753828084678389e-05)","(3.755828629437019e-06, 2.836927342286799e-05)","(2.6112945761269657e-06, 2.6249841539538465e-05)","(-7.3896662797778845e-06, 1.9465565856080502e-05)","(-1.134198100771755e-05, 1.901836549222935e-05)","(-1.151153992395848e-05, 1.722703927953262e-05)","(-1.3497260624717455e-05, 1.6009074897738174e-05)","(-1.3544472494686488e-05, 1.6542569937882945e-05)","(-1.2349761163932271e-05, 2.0030867744935676e-05)","(-5.5258674365177285e-06, 2.6360450647189282e-05)","(-1.9996743105821224e-07, 2.9600114430650137e-05)"
RH_p850,"(51.833892822265625, 22.95929527282715)","(50.87563705444336, 24.160625457763672)","(54.35115432739258, 23.412063598632812)","(62.49199676513672, 22.935768127441406)","(66.9563980102539, 20.107275009155273)","(62.65773391723633, 17.411392211914062)","(60.30121612548828, 15.39480209350586)","(59.46723175048828, 15.915931701660156)","(63.10585021972656, 18.40140724182129)","(55.68778610229492, 22.42011260986328)","(47.672264099121094, 22.58911895751953)","(49.1716423034668, 23.80599021911621)"
Z_p500,"(5665.89306640625, 82.57640075683594)","(5683.49365234375, 78.96831512451172)","(5677.3095703125, 75.00273132324219)","(5716.716796875, 65.5294189453125)","(5798.56103515625, 50.14864730834961)","(5864.89208984375, 42.25080490112305)","(5908.0458984375, 27.097721099853516)","(5904.4423828125, 28.41704559326172)","(5873.9296875, 35.7105712890625)","(5820.857421875, 52.92548751831055)","(5748.56103515625, 76.13938903808594)","(5699.064453125, 85.2117691040039)"
