,January,February,March,April,May,June,July,August,September,October,November,December
mslp,"(102075.9140625, 944.6288452148438)","(101870.5859375, 933.313232421875)","(101441.6796875, 853.9423828125)","(101377.7421875, 771.4734497070312)","(101267.296875, 613.737548828125)","(101202.8515625, 524.6068115234375)","(101280.796875, 422.8644104003906)","(101206.375, 483.6767883300781)","(101460.9609375, 619.62841796875)","(101802.2734375, 779.1603393554688)","(101913.75, 861.7236938476562)","(102079.8515625, 946.80126953125)"
vas,"(0.5534493327140808, 3.7084028720855713)","(0.7956669330596924, 3.4271271228790283)","(1.3211137056350708, 3.7952229976654053)","(1.4713941812515259, 3.9464688301086426)","(2.1369450092315674, 3.7837657928466797)","(2.6755964756011963, 3.6050479412078857)","(3.123128652572632, 3.020657539367676)","(2.872910499572754, 3.3454043865203857)","(1.839884638786316, 3.868865489959717)","(1.3161896467208862, 3.8379294872283936)","(0.7716997861862183, 3.3719241619110107)","(0.5436611771583557, 3.452390432357788)"
RH_p500,"(45.9826545715332, 26.552160263061523)","(48.89949035644531, 27.650426864624023)","(54.11408615112305, 26.740293502807617)","(57.2570915222168, 27.510726928710938)","(55.09820556640625, 27.00878143310547)","(55.38200759887695, 25.68929100036621)","(58.456390380859375, 24.779630661010742)","(59.60996627807617, 26.261905670166016)","(53.660545349121094, 30.419179916381836)","(39.43782424926758, 27.651084899902344)","(40.20723342895508, 26.117095947265625)","(43.6463737487793, 26.60825538635254)"
U_p850,"(4.8249430656433105, 6.405168533325195)","(4.668911457061768, 6.76530122756958)","(4.562298774719238, 6.754007339477539)","(2.586547613143921, 6.546675682067871)","(1.9014791250228882, 5.47074556350708)","(1.7725685834884644, 4.725921630859375)","(1.2338134050369263, 3.693760395050049)","(0.9736848473548889, 4.223524570465088)","(0.7676887512207031, 5.212690353393555)","(2.324528932571411, 5.804510116577148)","(4.704061985015869, 6.171271324157715)","(4.977869033813477, 6.583538055419922)"
Q_p850,"(0.002817024476826191, 0.0013266467722132802)","(0.0033934209495782852, 0.0015808212338015437)","(0.004090412519872189, 0.0015908427303656936)","(0.005464262329041958, 0.0019531932193785906)","(0.00806043203920126, 0.002486701123416424)","(0.010075707919895649, 0.0024131808895617723)","(0.011395804584026337, 0.0018593959975987673)","(0.011345420964062214, 0.002130668144673109)","(0.009661678224802017, 0.002802380593493581)","(0.006444732192903757, 0.002874735277146101)","(0.003941165283322334, 0.0018973913975059986)","(0.0030900666024535894, 0.001647123834118247)"
Vort_p500,"(7.515034667449072e-06, 3.0341579986270517e-05)","(5.0686880967987236e-06, 2.946628228528425e-05)","(7.767966053506825e-06, 2.893501368816942e-05)","(5.7111960813927e-06, 2.744841913226992e-05)","(-3.2733651096350513e-06, 2.260202745674178e-05)","(-1.1422568604757544e-05, 1.977865758817643e-05)","(-1.3784680049866438e-05, 1.8155169527744874e-05)","(-1.3201483852753881e-05, 1.6718031474738382e-05)","(-1.2529514606285375e-05, 1.651089041843079e-05)","(-8.75795194588136e-06, 2.311010757694021e-05)","(-4.26580726298198e-07, 2.862923065549694e-05)","(5.715897714253515e-06, 3.306507278466597e-05)"
RH_p850,"(50.39104080200195, 22.99095916748047)","(49.40773391723633, 22.877660751342773)","(51.487281799316406, 22.796863555908203)","(58.23605728149414, 23.696760177612305)","(61.51074981689453, 23.384166717529297)","(58.427154541015625, 20.93878936767578)","(56.626888275146484, 18.555147171020508)","(57.262237548828125, 19.386350631713867)","(61.895381927490234, 21.026704788208008)","(54.30698013305664, 21.23512840270996)","(47.05213165283203, 21.045459747314453)","(48.639549255371094, 22.839643478393555)"
Z_p500,"(5634.3349609375, 91.36834716796875)","(5658.732421875, 88.27362060546875)","(5649.72216796875, 80.44148254394531)","(5693.77685546875, 71.87335205078125)","(5778.4033203125, 57.89284133911133)","(5856.0078125, 48.02708053588867)","(5908.18115234375, 29.99478530883789)","(5901.81884765625, 31.421072006225586)","(5867.583984375, 39.72390365600586)","(5805.02734375, 62.316593170166016)","(5722.52197265625, 86.599609375)","(5666.97021484375, 94.98040771484375)"
